"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"NFHZJ8MA","conferencePaper","2020","Fourcade, Constance; Ferrer, Ludovic; Santini, Gianmarco; Moreau, Noemie; Rousseau, Caroline; Lacombe, Marie; Guillerminet, Camille; Colombie, Mathilde; Campone, Mario; Mateus, Diana; Rubeaux, Mathieu","Combining Superpixels and Deep Learning Approaches to Segment Active Organs in Metastatic Breast Cancer PET Images <sup>*</sup>","42nd Annual International Conference of the IEEE Engineering in Medicine & Biology Society (EMBC)","978-1-7281-1990-8","","10.1109/EMBC44109.2020.9175683","https://ieeexplore.ieee.org/document/9175683/","","2020-07","2021-03-23 15:18:32","2021-03-24 10:10:36","2021-03-23 15:18:32","1536-1539","","","","","","","","","","","IEEE","Montreal, QC, Canada","","","","","","DOI.org (Crossref)","","","","C:\Users\marubeaux\Mathieu\Perso\00_MCF\website\30042020_EMBC2020_ConstanceFourcade_SubmittedVersion.pdf; C:\Users\marubeaux\Zotero\storage\42GX9IRN\30042020_EMBC2020_ConstanceFourcade_SubmittedVersion.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42nd Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC) in conjunction with the 43rd Annual Conference of the Canadian Medical and Biological Engineering Society","","","","","","","","","","","","","","",""
"SRC7FT9S","conferencePaper","2020","Moreau, Noémie; Rousseau, Caroline; Ferrer, Ludovic; Campone, Mario; Colombie, Mathilde; Normand, Nicolas; Rubeaux, Mathieu","Comparison between traditional and deep learning-based semi-automatic segmentation methods for metastatic breast cancer lesions monitoring","Nuclear Technologies for Health Symposium","","","","","","2020","2020-11-20 11:46:00","2021-03-24 10:08:54","","","","","","","","","","","","","","Nantes, France","","","","","","","","","","C:\Users\marubeaux\Mathieu\Perso\Keosys\Encadrement\01_SubmittedPapers\2019_04_ACCEPTED_NTHS2020_NoémieMoreau.pdf; C:\Users\marubeaux\Zotero\storage\3A69W4TZ\2019_04_ACCEPTED_NTHS2020_NoémieMoreau.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Nuclear Technologies for Health Symposium","","","","","","","","","","","","","","",""
"2UMSE749","conferencePaper","2020","Fourcade, Constance; Santini, Gianmarco; Ferrer, Ludovic; Rousseau, Caroline; Colombie, Mathilde; Campone, Mario; Rubeaux, Mathieu; Mateus, Diana","Active Organs Segmentation in Metastatic Breast Cancer Images combining Superpixels and Deep Learning Methods","Nuclear Technologies for Health Symposium","","","","","Hypothesis In the clinical follow-up of metastatic breast cancer patients, semi-automatic measurements are performed on 18FDG PET/CT images to monitor the evolution of the main metastatic sites. Apart from being time-consuming and prone to subjective approximations, semi-automatic tools cannot make the difference between cancerous regions and active organs, presenting a high 18FDG uptake. In this work, we develop and compare fully automatic deep learning-based methods segmenting the main active organs (brain, heart, bladder), from full-body PET images. Methods We combine deep learning-based approaches with superpixels segmentation methods. In particular, we integrate a superpixel SLIC segmentation at different depths of a convolutional neural network, i.e. as input and within the optimization process. Superpixels reduce the resolution of the images, keeping sharp the boundaries of the larger target organs while the lesions, mostly smaller, are blurred. Results are compared with a deep learning segmentation network alone. The methods are cross-validated on full-body PET images of 36 patients from the ongoing EPICUREseinmeta study. The similarity between the manually defined ground truth masks of the organs and the results is evaluated with the Dice score. Moreover, these methods being preliminary to tumor segmentation, the precision of the networks is defined by monitoring the number of segmented voxels labelled as “active organ”, but belonging to a lesion. Results Although the methods present similar high Dice scores (0.96 ± 0.006), the ones using superpixels present a higher precision (on average 6, 16 and 27 selected voxels belonging to a tumor, for the CNN integrating superpixels in input, in optimization and not using them, respectively). Conclusion Combining deep learning with superpixels allows to segment organs presenting a high 18FDG uptake on PET images without selecting cancerous lesions. This improves the precision of the semi-automatic tools monitoring the evolution of breast cancer metastasis.","2020","2021-03-23 15:08:20","2021-03-24 10:08:46","","","","","","","","","","","","","","Nantes, France","","","","","","","","","","C:\Users\marubeaux\Mathieu\Perso\00_MCF\website\NTHS_2020_Constance_Fourcade.pdf; C:\Users\marubeaux\Zotero\storage\UGQI87XX\NTHS_2020_Constance_Fourcade.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Nuclear Technologies for Health Symposium","","","","","","","","","","","","","","",""
"R54H7BXU","conferencePaper","2017","Rubeaux, Mathieu; Alessio, Adam; Doris, Mhairi; Dweck, Marc; Newby, David; Dey, Damini; Berman, Daniel; Slomka, Piotr","Motion correction for imaging small lesions in coronary positron emission tomography gated images: a phantom study","Journal of Nuclear Medicine","","","","","","2017","2017-09-06 16:36:02","2026-03-04 13:25:22","","579-579","","supplement 1","58","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T7DVFC9D","journalArticle","2017","Doris, Mhairi Katrina; Rubeaux, Mathieu; Pawade, Tania; Otaki, Yuka; Xie, Yibin; Li, Debiao; Tamarappoo, Balaji K.; Newby, David; Berman, Daniel S.; Dweck, Marc R.","Motion-corrected imaging of the aortic valve with 18F-NaF PET/CT and PET/MR: a feasibility study","Journal of Nuclear Medicine","","","","","","2017","2017-09-06 16:36:02","2017-09-06 16:36:02","","jnumed. 117.194597","","","","","","","","","","","","","","","","","","","","","","C:\Users\marubeaux\Mathieu\Perso\00_MCF\website\1811.full.pdf; C:\Users\marubeaux\Zotero\storage\GTNHTWZU\1811.full.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4R87RHJF","journalArticle","2017","Krishnan, Sandeep; Otaki, Yuka; Doris, Mhairi; Slipczuk, Leandro; Arnson, Yoav; Rubeaux, Mathieu; Dey, Damini; Slomka, Piotr; Berman, Daniel S.; Tamarappoo, Balaji","Molecular Imaging of Vulnerable Coronary Plaque: A Pathophysiologic Perspective","Journal of Nuclear Medicine","","","","","","2017","2017-09-06 16:36:02","2017-09-06 16:36:02","","359-364","","3","58","","","","","","","","","","","","","","","","","","","C:\Users\marubeaux\Mathieu\Perso\00_MCF\website\359.full.pdf; C:\Users\marubeaux\Zotero\storage\8WS8E437\359.full.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ANB87M32","journalArticle","2017","Rubeaux, Mathieu; Doris, Mhairi K.; Alessio, Adam; Slomka, Piotr J.","Enhancing Cardiac PET by Motion Correction Techniques","Current cardiology reports","","","","","","2017","2017-09-06 16:36:02","2017-09-06 16:36:02","","14","","2","19","","","","","","","","","","","","","","","","","","","C:\Users\marubeaux\Mathieu\Perso\00_MCF\website\Enhancing_Cardiac_PET_by_Motion_Correction_Techniq.pdf; C:\Users\marubeaux\Zotero\storage\ES8W8NR8\Enhancing_Cardiac_PET_by_Motion_Correction_Techniq.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q7JQLYJA","journalArticle","2017","Hyun, Mark C.; Gerlach, Jim; Rubeaux, Mathieu; Slomka, Piotr J.","Technical consideration for dual ECG/respiratory-gated cardiac PET imaging","Journal of Nuclear Cardiology","","","","","","2017","2017-09-06 16:36:02","2017-09-06 16:36:02","","1246-1252","","4","24","","","","","","","","","","","","","","","","","","","C:\Users\marubeaux\Mathieu\Perso\00_MCF\website\Mark_JNC.pdf; C:\Users\marubeaux\Zotero\storage\CS2WZ3VN\Mark_JNC.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YH69U93W","journalArticle","2017","Betancur, Julian; Rubeaux, Mathieu; Fuchs, Tobias A.; Otaki, Yuka; Arnson, Yoav; Slipczuk, Leandro; Benz, Dominik C.; Germano, Guido; Dey, Damini; Lin, Chih-Jen","Automatic Valve Plane Localization in Myocardial Perfusion SPECT/CT by Machine Learning: Anatomic and Clinical Validation","Journal of Nuclear Medicine","","","","","","2017","2017-09-06 16:36:02","2017-09-06 16:36:02","","961-967","","6","58","","","","","","","","","","","","","","","","","","","C:\Users\marubeaux\Mathieu\Perso\00_MCF\website\961.full.pdf; C:\Users\marubeaux\Zotero\storage\RUTNKRKU\961.full.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CG563ADR","journalArticle","2016","Brodov, Yafim; Fish, Mathews; Rubeaux, Mathieu; Otaki, Yuka; Gransar, Heidi; Lemley, Mark; Gerlach, Jim; Berman, Daniel; Germano, Guido; Slomka, Piotr","Quantitation of left ventricular ejection fraction reserve from early gated regadenoson stress Tc-99m high-efficiency SPECT","Journal of Nuclear Cardiology","","","","","","2016","2017-09-06 16:36:02","2017-09-06 16:36:02","","1251-1261","","6","23","","","","","","","","","","","","","","","","","","","C:\Users\marubeaux\Mathieu\Perso\00_MCF\website\nihms778008.pdf; C:\Users\marubeaux\Zotero\storage\63NNQAJB\nihms778008.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
